Station,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25470023,409854,5919495,0,62,37,40,15,34,64,75,37,20,14,70,96,43,63,59,25,24,72,22,7
25480025,422075,5923197,0,80,53,66,68,57,51,77,82,72,14,21,20,11,93,84,16,9,85,72,64
25480026,412183,5923933,0,49,36,54,76,63,38,39,78,71,77,34,63,72,40,41,8,10,64,90,48
25481088,421783,5925854,86,75,54,55,55,48,35,70,62,71,31,35,35,45,83,75,90,26,87,64,63
25490020,423475,5918019,25,30,55,23,27,28,26,12,35,9,31,66,57,76,60,41,50,23,67,41,17
25500006,443164,5919612,39,28,50,33,16,6,92,89,97,96,8,55,71,75,47,35,12,7,50,9,10
25501075,436177,5919172,48,40,55,77,68,58,46,33,29,28,67,19,37,42,18,98,69,75,64,81,58
25510027,447605,5918620,0,0,0,44,68,58,72,55,57,83,93,64,66,45,57,24,79,28,24,64,98
26471092,403300,5907741,47,24,48,44,19,74,74,64,97,97,98,94,66,72,44,36,98,96,26,98,62
26471094,406138,5915692,73,54,81,59,31,12,91,91,24,30,33,79,98,17,93,81,57,44,70,37,97
26471095,406003,5912078,99,98,99,96,77,53,32,26,60,64,62,93,30,38,97,86,69,49,98,92,53
26471097,408602,5910148,97,80,98,76,54,37,16,21,71,55,63,98,40,53,95,89,61,49,95,48,98
26480022,414784,5909950,92,94,41,99,88,85,90,97,38,95,28,73,53,62,98,92,90,96,42,69,68
26481051,417776,5917044,27,33,76,95,96,81,70,97,59,98,94,96,98,42,98,98,47,51,86,87,61
26481052,419261,5915859,72,59,98,64,34,13,92,32,76,55,46,19,35,68,95,62,55,19,55,57,72
26481057,413989,5907135,96,93,18,94,86,77,74,75,96,84,97,35,45,98,91,98,83,84,99,78,94
26486009,415589,5912342,92,80,26,81,58,48,42,69,23,81,94,61,85,78,98,94,83,38,81,48,88
26486011,413985,5911825,98,99,28,96,88,86,82,98,29,95,22,68,44,60,98,95,96,98,36,78,84
26486016,415557,5913213,26,17,50,19,96,87,80,92,45,14,29,85,87,97,42,36,18,22,62,19,83
26490030,422868,5908745,0,93,97,91,97,97,96,91,93,31,94,85,97,53,88,96,99,78,95,98,90
26491061,422865,5915368,44,44,90,40,26,89,82,95,19,91,96,80,96,31,53,53,29,19,89,16,92
26491067,429893,5913588,53,41,75,51,28,98,99,74,26,98,13,93,29,59,97,66,34,22,88,38,98
26500002,443165,5914983,31,95,50,29,95,89,85,70,95,70,90,84,91,82,26,75,64,54,44,68,94
26521010,459103,5906579,0,0,55,66,69,34,61,42,37,19,46,48,64,47,83,62,43,54,88,76,84
27460295,391981,5899411,97,95,10,89,98,97,10,15,98,92,17,16,14,13,12,13,5,18,14,11,18
