Station,X,Y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
25470023,409854,5919495,0,41,64,29,2,82,50,56,36,6,29,83,89,87,49,42,13,38,53,87,79.68895,79.899734,79.902374,79.901855,79.90187,79.902435
25480025,422075,5923197,79,95,77,64,46,50,77,82,78,21,20,11,93,80,84,89,90,84,69,65,86.04448,85.913506,85.81904,85.75722,85.716736,92.68965
25480026,412183,5923933,60,30,71,47,37,19,67,71,53,31,56,54,53,25,13,85,57,24,59,52,80.27586,80.6413,80.807014,80.890015,81.69136,82.30942
25481088,421783,5925854,0,85,74,13,78,65,55,53,79,75,68,49,40,28,32,86,81,31,14,79,76.3698,76.24482,76.20447,76.19318,76.19018,76.18938
25490020,423475,5918019.55,27,28,50,28,21,15,93,29,17,10,55,76,41,36,58,26,35,66,35,52,72.73278,70.7596,69.11186,68.091095,67.49802,67.162834
25500006,443164,5919612.38,30,25,43,17,96,89,83,88,97,91,22,62,63,64,39,17,6,19,38,35,66.87965,67.774185,68.117964,68.24014,68.283165,68.29826
25501075,436177,5919172,46,41,67,70,61,50,42,31,26,34,90,26,44,28,10,84,62,84,69,72,84.75388,95.61867,84.54465,84.50901,84.4919,84.48363
25510027,447605,5918620,0,0,72,65,77,80,84,86,83,99,98,99,77,79,66,70,98,57,99,24,87.20516,87.30946,96.351456,86.72836,86.54499,86.692196
26471092,403300,5907741,33,99,51,33,96,95,68,84,96,99,37,66,69,62,39,23,87,98,94,85,85.45583,95.57964,83.29039,83.23866,83.18963,83.145325
26471094,406138,5915692,57,49,68,43,21,93,81,99,38,22,57,97,97,99,91,66,46,72,65,18,85.1884,85.21063,85.51965,85.68969,84.88739,84.61541
26471095,406003,5912078,96,95,96,91,75,64,36,55,61,60,64,90,37,31,90,92,70,79,79,46,86.552444,85.9951,85.77931,85.77284,85.76949,92.76662
26471097,408602,5910148,87,96,95,61,42,26,97,50,59,50,73,35,41,21,84,69,49,91,81,29,84.15115,95.15711,84.378555,84.92166,84.71304,84.30727
